,gid_3
436,PHL.2.10.3_1
438,PHL.2.10.12_1
441,PHL.2.10.15_1
442,PHL.2.10.16_1
444,PHL.2.10.18_1
445,PHL.2.10.19_1
446,PHL.2.10.9_1
447,PHL.2.10.10_1
448,PHL.2.10.4_1
449,PHL.2.10.5_1
450,PHL.2.10.6_1
451,PHL.2.10.7_1
452,PHL.2.10.8_1
453,PHL.2.11.5_1
454,PHL.2.11.1_1
455,PHL.2.11.2_1
457,PHL.2.11.4_1
458,PHL.2.11.6_1
464,PHL.2.12.4_1
471,PHL.2.13.3_1
477,PHL.2.13.9_1
481,PHL.2.13.13_1
482,PHL.2.1.14_1
483,PHL.2.1.15_1
484,PHL.2.1.16_1
485,PHL.2.1.17_1
489,PHL.2.1.2_1
497,PHL.2.1.9_1
498,PHL.2.1.10_1
499,PHL.2.1.11_1
500,PHL.2.1.13_1
503,PHL.2.1.22_1
506,PHL.2.1.25_1
512,PHL.2.2.25_1
536,PHL.2.2.4_1
537,PHL.2.2.5_1
540,PHL.2.2.8_1
541,PHL.2.2.9_1
543,PHL.2.2.13_1
545,PHL.2.2.15_1
551,PHL.2.2.22_1
554,PHL.2.2.26_1
561,PHL.2.2.35_1
563,PHL.2.2.42_1
564,PHL.2.2.44_1
565,PHL.2.2.46_1
569,PHL.2.2.51_1
579,PHL.2.2.66_1
586,PHL.2.2.78_1
587,PHL.2.2.79_1
590,PHL.2.2.83_1
595,PHL.2.3.2_1
601,PHL.2.3.8_1
604,PHL.2.3.11_1
607,PHL.2.3.14_1
621,PHL.2.3.29_1
637,PHL.2.5.5_1
641,PHL.2.5.9_1
683,PHL.2.9.1_1
727,PHL.25.11.7_1
729,PHL.25.11.3_1
730,PHL.25.11.4_1
731,PHL.25.11.1_1
732,PHL.25.11.2_1
733,PHL.25.11.9_1
734,PHL.25.11.10_1
736,PHL.25.11.12_1
737,PHL.25.11.13_1
739,PHL.25.11.17_1
741,PHL.25.11.29_1
744,PHL.25.11.22_1
790,PHL.25.14.6_1
793,PHL.25.14.9_1
794,PHL.25.14.10_1
795,PHL.25.14.11_1
796,PHL.25.14.12_1
799,PHL.25.14.15_1
801,PHL.25.15.3_1
804,PHL.25.15.6_1
812,PHL.25.15.16_1
813,PHL.25.15.17_1
818,PHL.25.15.7_1
821,PHL.25.16.18_1
839,PHL.25.16.12_1
840,PHL.25.16.14_1
853,PHL.25.17.21_1
876,PHL.25.17.54_1
891,PHL.25.17.78_1
895,PHL.25.17.5_1
896,PHL.25.17.6_1
897,PHL.25.17.7_1
898,PHL.25.17.8_1
912,PHL.25.17.36_1
926,PHL.25.18.6_1
929,PHL.25.18.9_1
931,PHL.25.18.11_1
934,PHL.25.18.14_1
960,PHL.25.1.2_1
961,PHL.25.1.3_1
964,PHL.25.1.6_1
965,PHL.25.1.7_1
966,PHL.25.1.8_1
981,PHL.25.21.8_1
982,PHL.25.21.9_1
984,PHL.25.21.2_1
986,PHL.25.21.4_1
988,PHL.25.21.6_1
991,PHL.25.21.11_1
992,PHL.25.21.12_1
993,PHL.25.21.13_1
997,PHL.25.21.17_1
999,PHL.25.21.19_1
1000,PHL.25.21.20_1
1043,PHL.25.23.9_1
1048,PHL.25.23.14_1
1052,PHL.25.23.19_1
1058,PHL.25.23.25_1
1062,PHL.25.23.29_1
1071,PHL.25.23.38_1
1072,PHL.25.23.39_1
1073,PHL.25.23.40_1
1125,PHL.25.26.12_1
1161,PHL.25.28.4_1
1208,PHL.25.31.5_1
1212,PHL.25.31.3_1
1214,PHL.25.31.7_1
1216,PHL.25.31.9_1
1217,PHL.25.31.11_1
1226,PHL.25.31.20_1
1231,PHL.25.31.25_1
1236,PHL.25.32.2_1
1238,PHL.25.32.4_1
1239,PHL.25.32.5_1
1242,PHL.25.32.8_1
1243,PHL.25.32.9_1
1246,PHL.25.32.12_1
1247,PHL.25.32.13_1
1248,PHL.25.32.14_1
1251,PHL.25.32.17_1
1253,PHL.25.32.19_1
1254,PHL.25.33.12_1
1255,PHL.25.33.13_1
1258,PHL.25.33.16_1
1266,PHL.25.33.7_1
1268,PHL.25.33.9_1
1271,PHL.25.33.18_1
1275,PHL.25.34.3_1
1283,PHL.25.34.11_1
1285,PHL.25.34.13_1
1287,PHL.25.34.15_1
1293,PHL.25.35.6_1
1296,PHL.25.35.9_1
1302,PHL.25.35.14_1
1307,PHL.25.35.19_1
1310,PHL.25.35.22_1
1312,PHL.25.35.25_1
1315,PHL.25.35.28_1
1407,PHL.25.40.6_1
1411,PHL.25.40.10_1
1431,PHL.25.42.1_1
1436,PHL.25.42.6_1
1441,PHL.25.42.11_1
1443,PHL.25.42.13_1
1444,PHL.25.42.14_1
1446,PHL.25.42.16_1
1467,PHL.25.44.5_1
1507,PHL.25.46.1_1
1508,PHL.25.46.5_1
1525,PHL.25.47.4_1
1534,PHL.25.47.21_1
1555,PHL.25.48.17_1
1609,PHL.25.51.11_1
1610,PHL.25.51.12_1
1612,PHL.25.51.2_1
1619,PHL.25.51.9_1
1808,PHL.25.7.3_1
1817,PHL.25.7.12_1
1818,PHL.25.7.13_1
1824,PHL.25.7.19_1
1830,PHL.25.7.25_1
1952,PHL.5.13.29_1
1955,PHL.5.13.3_1
1956,PHL.5.13.4_1
1961,PHL.5.13.9_1
1962,PHL.5.13.10_1
1968,PHL.5.13.15_1
1971,PHL.5.13.18_1
1975,PHL.5.13.22_1
1977,PHL.5.13.24_1
1980,PHL.5.13.27_1
1982,PHL.5.13.31_1
1988,PHL.5.13.37_1
1990,PHL.5.13.39_1
1993,PHL.5.13.53_1
2039,PHL.5.15.3_1
2042,PHL.5.15.6_1
2043,PHL.5.15.19_1
2045,PHL.5.15.8_1
2047,PHL.5.15.10_1
2051,PHL.5.15.17_1
2055,PHL.5.15.22_1
2062,PHL.5.15.29_1
2063,PHL.5.15.30_1
2067,PHL.5.15.34_1
2071,PHL.5.15.38_1
2075,PHL.5.15.42_1
2077,PHL.5.15.44_1
2078,PHL.5.15.13_1
2079,PHL.5.15.14_1
2191,PHL.5.19.8_1
2196,PHL.5.19.13_1
2197,PHL.5.19.14_1
2202,PHL.5.19.19_1
2266,PHL.5.3.2_1
2270,PHL.5.3.13_1
2277,PHL.5.3.19_1
2278,PHL.5.3.20_1
2279,PHL.5.3.21_1
2280,PHL.5.3.22_1
2282,PHL.5.3.24_1
2284,PHL.5.3.26_1
