,gid_3
57,PHL.2.1.14_1
71,PHL.2.1.15_1
110,PHL.2.1.16_1
135,PHL.2.1.17_1
316,PHL.2.1.2_1
324,PHL.2.1.9_1
325,PHL.2.1.10_1
326,PHL.2.1.11_1
327,PHL.2.1.13_1
330,PHL.2.1.22_1
333,PHL.2.1.25_1
337,PHL.2.2.4_1
338,PHL.2.2.5_1
342,PHL.2.2.8_1
343,PHL.2.2.9_1
347,PHL.2.2.13_1
350,PHL.2.2.15_1
357,PHL.2.2.22_1
360,PHL.2.2.25_1
361,PHL.2.2.26_1
370,PHL.2.2.35_1
377,PHL.2.2.42_1
380,PHL.2.2.44_1
382,PHL.2.2.46_1
387,PHL.2.2.51_1
401,PHL.2.2.66_1
412,PHL.2.2.78_1
413,PHL.2.2.79_1
417,PHL.2.2.83_1
422,PHL.2.3.2_1
429,PHL.2.3.8_1
432,PHL.2.3.11_1
435,PHL.2.3.14_1
450,PHL.2.3.29_1
468,PHL.2.5.5_1
472,PHL.2.5.9_1
480,PHL.2.10.9_1
509,PHL.2.10.10_1
518,PHL.2.9.1_1
521,PHL.2.10.3_1
522,PHL.2.10.4_1
523,PHL.2.10.5_1
524,PHL.2.10.6_1
525,PHL.2.10.7_1
526,PHL.2.10.8_1
528,PHL.2.10.12_1
531,PHL.2.10.15_1
532,PHL.2.10.16_1
533,PHL.3.1.26_1
535,PHL.2.10.18_1
536,PHL.2.10.19_1
537,PHL.2.11.1_1
538,PHL.2.11.2_1
540,PHL.2.11.4_1
541,PHL.2.11.5_1
542,PHL.2.11.6_1
549,PHL.2.12.4_1
556,PHL.2.13.3_1
563,PHL.2.13.9_1
568,PHL.2.13.13_1
573,PHL.3.1.5_1
583,PHL.3.1.14_1
593,PHL.3.1.24_1
606,PHL.5.9.29_1
650,PHL.3.6.9_1
661,PHL.3.3.37_1
706,PHL.3.6.7_1
714,PHL.3.6.2_1
715,PHL.3.6.3_1
717,PHL.3.6.5_1
720,PHL.3.6.17_1
722,PHL.3.6.19_1
733,PHL.3.6.31_1
738,PHL.3.7.4_1
739,PHL.3.7.5_1
740,PHL.3.8.2_1
741,PHL.3.8.3_1
744,PHL.3.7.8_1
750,PHL.3.8.5_1
751,PHL.3.8.6_1
752,PHL.3.8.7_1
762,PHL.3.8.17_1
763,PHL.3.8.18_1
764,PHL.3.8.19_1
767,PHL.3.8.22_1
768,PHL.3.8.23_1
784,PHL.5.3.2_1
805,PHL.3.10.6_1
826,PHL.3.11.18_1
832,PHL.3.11.23_1
853,PHL.3.13.3_1
857,PHL.3.13.7_1
860,PHL.3.13.10_1
861,PHL.3.13.11_1
896,PHL.4.1.6_1
900,PHL.4.1.10_1
901,PHL.4.1.11_1
903,PHL.4.2.1_1
905,PHL.4.2.3_1
911,PHL.4.2.6_1
915,PHL.4.2.10_1
916,PHL.4.3.1_1
917,PHL.4.3.2_1
919,PHL.4.3.4_1
920,PHL.4.3.5_1
926,PHL.4.3.12_1
928,PHL.4.3.14_1
931,PHL.4.3.17_1
932,PHL.4.3.18_1
933,PHL.4.3.19_1
936,PHL.4.3.21_1
939,PHL.4.3.24_1
940,PHL.4.3.25_1
941,PHL.4.3.26_1
944,PHL.4.3.29_1
946,PHL.4.3.30_1
950,PHL.4.4.4_1
954,PHL.4.4.6_1
985,PHL.4.6.7_1
989,PHL.4.6.1_1
996,PHL.4.6.8_1
1000,PHL.4.6.12_1
1001,PHL.4.6.13_1
1002,PHL.4.6.14_1
1004,PHL.4.6.20_1
1006,PHL.4.6.22_1
1007,PHL.4.6.23_1
1008,PHL.4.6.24_1
1009,PHL.4.6.25_1
1014,PHL.4.6.29_1
1017,PHL.4.6.32_1
1041,PHL.4.8.1_1
1044,PHL.4.8.4_1
1049,PHL.4.8.9_1
1050,PHL.4.8.10_1
1051,PHL.4.8.11_1
1052,PHL.4.8.12_1
1105,PHL.4.11.2_1
1109,PHL.4.11.6_1
1113,PHL.4.11.8_1
1114,PHL.4.11.9_1
1116,PHL.4.11.11_1
1117,PHL.4.11.12_1
1118,PHL.4.11.15_1
1120,PHL.4.11.17_1
1121,PHL.4.11.18_1
1124,PHL.10.4.31_1
1141,PHL.4.13.1_1
1142,PHL.4.13.2_1
1150,PHL.4.13.15_1
1152,PHL.4.13.10_1
1153,PHL.4.13.11_1
1154,PHL.4.13.12_1
1160,PHL.4.13.18_1
1165,PHL.4.14.1_1
1168,PHL.4.14.4_1
1171,PHL.10.4.46_1
1179,PHL.4.14.14_1
1182,PHL.4.14.16_1
1214,PHL.12.14.43_1
1228,PHL.4.17.2_1
1230,PHL.4.17.4_1
1242,PHL.4.17.14_1
1273,PHL.6.15.20_1
1289,PHL.5.3.13_1
1304,PHL.5.3.19_1
1305,PHL.5.3.20_1
1306,PHL.5.3.21_1
1314,PHL.5.3.29_1
1316,PHL.5.3.31_1
1320,PHL.5.4.13_1
1322,PHL.5.3.35_1
1331,PHL.5.3.44_1
1333,PHL.5.3.46_1
1340,PHL.5.4.2_1
1341,PHL.5.4.3_1
1342,PHL.5.4.4_1
1343,PHL.5.4.5_1
1345,PHL.5.4.7_1
1346,PHL.5.4.8_1
1347,PHL.5.4.9_1
1349,PHL.5.4.11_1
1352,PHL.5.4.15_1
1354,PHL.5.4.17_1
1355,PHL.5.4.18_1
1356,PHL.5.4.19_1
1357,PHL.5.4.20_1
1360,PHL.5.4.23_1
1361,PHL.5.4.24_1
1364,PHL.5.4.27_1
1367,PHL.5.4.30_1
1370,PHL.5.4.33_1
1374,PHL.5.4.37_1
1377,PHL.5.4.40_1
1379,PHL.5.4.42_1
1382,PHL.5.4.45_1
1384,PHL.5.4.46_1
1387,PHL.5.4.49_1
1388,PHL.5.4.50_1
1389,PHL.5.4.51_1
1392,PHL.5.4.54_1
1395,PHL.5.5.3_1
1398,PHL.5.5.5_1
1399,PHL.5.5.6_1
1406,PHL.5.5.13_1
1407,PHL.5.5.14_1
1410,PHL.5.5.17_1
1411,PHL.5.5.18_1
1426,PHL.5.5.35_1
